enrollment_no,name,email,contact_no,department,semester
BCA230,Tara Verma,tara.verma.BCA230@student.com,7567342252,BCA,2
BCA301,Khevna Verma,khevna.verma.BCA301@student.com,7291076068,BCA,3
BCA302,Bhavya Mishra,bhavya.mishra.BCA302@student.com,6575412080,BCA,3
BCA303,Advait Modi,advait.modi.BCA303@student.com,8250595173,BCA,3
BCA304,Akash Singh,akash.singh.BCA304@student.com,8417366940,BCA,3
BCA305,Esha Yadav,esha.yadav.BCA305@student.com,6479644113,BCA,3
BCA306,Vivaan Chaudhary,vivaan.chaudhary.BCA306@student.com,6464596377,BCA,3
BCA307,Arjun Iyer,arjun.iyer.BCA307@student.com,7890597746,BCA,3
BCA308,Aditya Gupta,aditya.gupta.BCA308@student.com,8983194021,BCA,3
BCA309,Arjun Bose,arjun.bose.BCA309@student.com,6370897251,BCA,3
BCA310,Tara Bose,tara.bose.BCA310@student.com,6570045423,BCA,3
BCA311,Ananya Mehta,ananya.mehta.BCA311@student.com,8058837528,BCA,3
BCA312,Akash Prajapati,akash.prajapati.BCA312@student.com,6917285298,BCA,3
BCA313,Gautam Modi,gautam.modi.BCA313@student.com,7881017999,BCA,3
BCA314,Vihaan Iyer,vihaan.iyer.BCA314@student.com,8510116534,BCA,3
BCA315,Aditya Deshmukh,aditya.deshmukh.BCA315@student.com,6270986175,BCA,3
BCA316,Aavya Yadav,aavya.yadav.BCA316@student.com,8610256852,BCA,3
BCA317,Tara Pandey,tara.pandey.BCA317@student.com,8425506807,BCA,3
BCA318,Parth Kulkarni,parth.kulkarni.BCA318@student.com,6349351025,BCA,3
BCA319,Chaitanya Yadav,chaitanya.yadav.BCA319@student.com,8011668615,BCA,3
BCA320,Akash Patel,akash.patel.BCA320@student.com,7076516896,BCA,3
BCA321,Vivaan Sharma,vivaan.sharma.BCA321@student.com,8236836035,BCA,3
BCA322,Deepak Jain,deepak.jain.BCA322@student.com,7665934405,BCA,3
BCA323,Aditya Patel,aditya.patel.BCA323@student.com,8810734110,BCA,3
BCA324,Diya Yadav,diya.yadav.BCA324@student.com,8951602476,BCA,3
BCA325,Deepak Singh,deepak.singh.BCA325@student.com,6200812934,BCA,3
BCA326,Bhavya Reddy,bhavya.reddy.BCA326@student.com,6957021669,BCA,3
BCA327,Myra Prajapati,myra.prajapati.BCA327@student.com,8259046068,BCA,3
BCA328,Myra Mehta,myra.mehta.BCA328@student.com,6213710876,BCA,3
BCA329,Meera Deshmukh,meera.deshmukh.BCA329@student.com,7319046432,BCA,3
BCA330,Aavya Malhotra,aavya.malhotra.BCA330@student.com,7028471849,BCA,3
BCA401,Saanvi Gupta,saanvi.gupta.BCA401@student.com,7695626054,BCA,4
BCA402,Krishna Iyer,krishna.iyer.BCA402@student.com,6374766962,BCA,4
BCA403,Siddharth Pandey,siddharth.pandey.BCA403@student.com,7183173946,BCA,4
BCA404,Aarav Malhotra,aarav.malhotra.BCA404@student.com,8733769956,BCA,4
BCA405,Siddharth Jain,siddharth.jain.BCA405@student.com,8809504437,BCA,4
BCA406,Advait Rao,advait.rao.BCA406@student.com,8256219105,BCA,4
BCA407,Deepak Malhotra,deepak.malhotra.BCA407@student.com,7894112799,BCA,4
BCA408,Zoya Nair,zoya.nair.BCA408@student.com,7623507610,BCA,4
BCA409,Ananya Malhotra,ananya.malhotra.BCA409@student.com,6460905079,BCA,4
BCA410,Bhavya Gupta,bhavya.gupta.BCA410@student.com,8378475123,BCA,4
BCA411,Krishna Mehta,krishna.mehta.BCA411@student.com,6372505849,BCA,4
BCA412,Parth Prajapati,parth.prajapati.BCA412@student.com,6972393412,BCA,4
BCA413,Ananya Mishra,ananya.mishra.BCA413@student.com,6623895840,BCA,4
BCA414,Krishna Singh,krishna.singh.BCA414@student.com,8783108523,BCA,4
BCA415,Arjun Iyer,arjun.iyer.BCA415@student.com,7660110242,BCA,4
BCA416,Ishani Kapoor,ishani.kapoor.BCA416@student.com,7716829572,BCA,4
BCA417,Gautam Kulkarni,gautam.kulkarni.BCA417@student.com,7302643489,BCA,4
BCA418,Krishna Nair,krishna.nair.BCA418@student.com,6811325566,BCA,4
BCA419,Vihaan Pandey,vihaan.pandey.BCA419@student.com,6462285239,BCA,4
BCA420,Parth Singh,parth.singh.BCA420@student.com,6064945023,BCA,4
BCA421,Bhavya Gupta,bhavya.gupta.BCA421@student.com,6219591220,BCA,4
BCA422,Neha Yadav,neha.yadav.BCA422@student.com,6921277261,BCA,4
BCA423,Esha Kulkarni,esha.kulkarni.BCA423@student.com,8520519444,BCA,4
BCA424,Ishani Mehta,ishani.mehta.BCA424@student.com,7832080338,BCA,4
BCA425,Tara Sharma,tara.sharma.BCA425@student.com,6932980974,BCA,4
BCA426,Meera Deshmukh,meera.deshmukh.BCA426@student.com,8738106032,BCA,4
BCA427,Aavya Deshmukh,aavya.deshmukh.BCA427@student.com,7526512433,BCA,4
BCA428,Krishna Modi,krishna.modi.BCA428@student.com,8346369005,BCA,4
BCA429,Siddharth Yadav,siddharth.yadav.BCA429@student.com,7754084611,BCA,4
BCA430,Saanvi Bose,saanvi.bose.BCA430@student.com,8714703490,BCA,4
BCA501,Kabir Patel,kabir.patel.BCA501@student.com,8409388440,BCA,5
BCA502,Gautam Sharma,gautam.sharma.BCA502@student.com,6465173280,BCA,5
BCA503,Saanvi Deshmukh,saanvi.deshmukh.BCA503@student.com,7541357959,BCA,5
BCA504,Rohan Iyer,rohan.iyer.BCA504@student.com,6631441133,BCA,5
BCA505,Siddharth Mishra,siddharth.mishra.BCA505@student.com,7151770223,BCA,5
BCA506,Aditya Sharma,aditya.sharma.BCA506@student.com,8021216484,BCA,5
BCA507,Tara Sharma,tara.sharma.BCA507@student.com,6195676724,BCA,5
BCA508,Krishna Malhotra,krishna.malhotra.BCA508@student.com,6435019950,BCA,5
BCA509,Aditya Gupta,aditya.gupta.BCA509@student.com,8921348091,BCA,5
BCA510,Aavya Reddy,aavya.reddy.BCA510@student.com,8565680784,BCA,5
BCA511,Meera Mishra,meera.mishra.BCA511@student.com,7395663979,BCA,5
BCA512,Vihaan Prajapati,vihaan.prajapati.BCA512@student.com,6825603908,BCA,5
BCA513,Kabir Kapoor,kabir.kapoor.BCA513@student.com,7957292413,BCA,5
BCA514,Rohan Prajapati,rohan.prajapati.BCA514@student.com,6183625723,BCA,5
BCA515,Bhavya Modi,bhavya.modi.BCA515@student.com,8976850202,BCA,5
BCA516,Neha Malhotra,neha.malhotra.BCA516@student.com,6297033865,BCA,5
BCA517,Akash Mehta,akash.mehta.BCA517@student.com,8411123225,BCA,5
BCA518,Ananya Mehta,ananya.mehta.BCA518@student.com,6838383863,BCA,5
BCA519,Advait Mehta,advait.mehta.BCA519@student.com,7049882626,BCA,5
BCA520,Deepak Verma,deepak.verma.BCA520@student.com,6149537988,BCA,5
BCA521,Esha Chaudhary,esha.chaudhary.BCA521@student.com,7267251978,BCA,5
BCA522,Bhavya Verma,bhavya.verma.BCA522@student.com,6920360464,BCA,5
BCA523,Chaitanya Iyer,chaitanya.iyer.BCA523@student.com,6693871592,BCA,5
BCA524,Pranav Singh,pranav.singh.BCA524@student.com,7884050484,BCA,5
BCA525,Gautam Verma,gautam.verma.BCA525@student.com,8946407993,BCA,5
BCA526,Siddharth Nair,siddharth.nair.BCA526@student.com,7291742257,BCA,5
BCA527,Vihaan Malhotra,vihaan.malhotra.BCA527@student.com,7641406949,BCA,5
BCA528,Vihaan Pandey,vihaan.pandey.BCA528@student.com,7891852458,BCA,5
BCA529,Akash Deshmukh,akash.deshmukh.BCA529@student.com,8507929976,BCA,5
BCA530,Arjun Bose,arjun.bose.BCA530@student.com,6525498805,BCA,5
BCA601,Isha Sharma,isha.sharma.BCA601@student.com,6965294543,BCA,6
BCA602,Esha Jain,esha.jain.BCA602@student.com,7103599284,BCA,6
BCA603,Zoya Reddy,zoya.reddy.BCA603@student.com,7284728752,BCA,6
BCA604,Tara Prajapati,tara.prajapati.BCA604@student.com,7290255210,BCA,6
BCA605,Ishani Pandey,ishani.pandey.BCA605@student.com,7999014858,BCA,6
BCA606,Isha Rao,isha.rao.BCA606@student.com,7888130837,BCA,6
BCA607,Rohan Singh,rohan.singh.BCA607@student.com,8400966071,BCA,6
BCA608,Aarav Kulkarni,aarav.kulkarni.BCA608@student.com,6366867080,BCA,6
BCA609,Saanvi Iyer,saanvi.iyer.BCA609@student.com,6568551244,BCA,6
BCA610,Rohan Kapoor,rohan.kapoor.BCA610@student.com,7445985091,BCA,6
BCA611,Vihaan Yadav,vihaan.yadav.BCA611@student.com,6537878944,BCA,6
BCA612,Tara Jain,tara.jain.BCA612@student.com,7990937528,BCA,6
BCA613,Neha Mehta,neha.mehta.BCA613@student.com,8872558571,BCA,6
BCA614,Aarav Gupta,aarav.gupta.BCA614@student.com,6081908240,BCA,6
BCA615,Siddharth Mehta,siddharth.mehta.BCA615@student.com,7430246933,BCA,6
BCA616,Deepak Chaudhary,deepak.chaudhary.BCA616@student.com,8918496312,BCA,6
BCA617,Siddharth Nair,siddharth.nair.BCA617@student.com,8884391982,BCA,6
BCA618,Vivaan Prajapati,vivaan.prajapati.BCA618@student.com,8128177894,BCA,6
BCA619,Riya Iyer,riya.iyer.BCA619@student.com,8036290714,BCA,6
BCA620,Arjun Deshmukh,arjun.deshmukh.BCA620@student.com,7701778832,BCA,6
BCA621,Chaitanya Rao,chaitanya.rao.BCA621@student.com,6919971861,BCA,6
BCA622,Aryan Deshmukh,aryan.deshmukh.BCA622@student.com,6721789748,BCA,6
BCA623,Vihaan Singh,vihaan.singh.BCA623@student.com,6970355742,BCA,6
BCA624,Tara Mehta,tara.mehta.BCA624@student.com,7388529471,BCA,6
BCA625,Aarav Prajapati,aarav.prajapati.BCA625@student.com,8942201123,BCA,6
BCA626,Diya Reddy,diya.reddy.BCA626@student.com,8672068138,BCA,6
BCA627,Bhavya Reddy,bhavya.reddy.BCA627@student.com,7478911749,BCA,6
BCA628,Vihaan Mishra,vihaan.mishra.BCA628@student.com,6370735835,BCA,6
BCA629,Riya Prajapati,riya.prajapati.BCA629@student.com,6296600097,BCA,6
BCA630,Tara Sharma,tara.sharma.BCA630@student.com,6471517403,BCA,6
MCA101,Akash Kulkarni,akash.kulkarni.MCA101@student.com,8157640859,MCA,1
MCA102,Aryan Yadav,aryan.yadav.MCA102@student.com,6678482502,MCA,1
MCA103,Riya Rao,riya.rao.MCA103@student.com,7778546378,MCA,1
MCA104,Ishani Prajapati,ishani.prajapati.MCA104@student.com,8393965956,MCA,1
MCA105,Arjun Mehta,arjun.mehta.MCA105@student.com,7306235509,MCA,1
MCA106,Deepak Patel,deepak.patel.MCA106@student.com,7148355960,MCA,1
MCA107,Siddharth Kapoor,siddharth.kapoor.MCA107@student.com,7496361955,MCA,1
MCA108,Zoya Prajapati,zoya.prajapati.MCA108@student.com,8498212285,MCA,1
MCA109,Akash Chaudhary,akash.chaudhary.MCA109@student.com,6609906282,MCA,1
MCA110,Myra Sharma,myra.sharma.MCA110@student.com,7109465465,MCA,1
MCA111,Aryan Mehta,aryan.mehta.MCA111@student.com,8665384301,MCA,1
MCA112,Vivaan Gupta,vivaan.gupta.MCA112@student.com,6815570189,MCA,1
MCA113,Aavya Chaudhary,aavya.chaudhary.MCA113@student.com,7804615540,MCA,1
MCA114,Pranav Bose,pranav.bose.MCA114@student.com,6003257888,MCA,1
MCA115,Aditya Reddy,aditya.reddy.MCA115@student.com,8572137577,MCA,1
MCA116,Aryan Kapoor,aryan.kapoor.MCA116@student.com,8662598739,MCA,1
MCA117,Tara Malhotra,tara.malhotra.MCA117@student.com,6441811268,MCA,1
MCA118,Parth Deshmukh,parth.deshmukh.MCA118@student.com,8007648590,MCA,1
MCA119,Vivaan Gupta,vivaan.gupta.MCA119@student.com,7946297778,MCA,1
MCA120,Chaitanya Verma,chaitanya.verma.MCA120@student.com,7980759707,MCA,1
MCA121,Rohan Reddy,rohan.reddy.MCA121@student.com,8333146447,MCA,1
MCA122,Rohan Kapoor,rohan.kapoor.MCA122@student.com,6013844206,MCA,1
MCA123,Aryan Modi,aryan.modi.MCA123@student.com,6273352808,MCA,1
MCA124,Meera Gupta,meera.gupta.MCA124@student.com,6692001249,MCA,1
MCA125,Vihaan Patel,vihaan.patel.MCA125@student.com,7357757447,MCA,1
MCA126,Pranav Singh,pranav.singh.MCA126@student.com,8850917487,MCA,1
MCA127,Diya Yadav,diya.yadav.MCA127@student.com,6336747582,MCA,1
MCA128,Advait Singh,advait.singh.MCA128@student.com,6486017921,MCA,1
MCA129,Arjun Bose,arjun.bose.MCA129@student.com,6570093458,MCA,1
MCA130,Riya Deshmukh,riya.deshmukh.MCA130@student.com,6843833412,MCA,1
MCA201,Chaitanya Kapoor,chaitanya.kapoor.MCA201@student.com,6437815229,MCA,2
MCA202,Myra Singh,myra.singh.MCA202@student.com,6663769515,MCA,2
MCA203,Kabir Mehta,kabir.mehta.MCA203@student.com,6039691328,MCA,2
MCA204,Tara Prajapati,tara.prajapati.MCA204@student.com,6136777384,MCA,2
MCA205,Vihaan Yadav,vihaan.yadav.MCA205@student.com,6410291674,MCA,2
MCA206,Aavya Sharma,aavya.sharma.MCA206@student.com,8254811140,MCA,2
MCA207,Neha Kapoor,neha.kapoor.MCA207@student.com,7514201319,MCA,2
MCA208,Siddharth Modi,siddharth.modi.MCA208@student.com,6527813832,MCA,2
MCA209,Arjun Jain,arjun.jain.MCA209@student.com,6008627832,MCA,2
MCA210,Siddharth Mehta,siddharth.mehta.MCA210@student.com,6851785538,MCA,2
MCA211,Rohan Rao,rohan.rao.MCA211@student.com,6787677536,MCA,2
MCA212,Vihaan Chaudhary,vihaan.chaudhary.MCA212@student.com,7034652789,MCA,2
MCA213,Zoya Malhotra,zoya.malhotra.MCA213@student.com,8544281919,MCA,2
MCA214,Ishani Chaudhary,ishani.chaudhary.MCA214@student.com,8172614361,MCA,2
MCA215,Rohan Modi,rohan.modi.MCA215@student.com,8478920930,MCA,2
MCA216,Deepak Rao,deepak.rao.MCA216@student.com,6463745764,MCA,2
MCA217,Arjun Nair,arjun.nair.MCA217@student.com,7183465809,MCA,2
MCA218,Chaitanya Mehta,chaitanya.mehta.MCA218@student.com,7492352975,MCA,2
MCA219,Pranav Iyer,pranav.iyer.MCA219@student.com,8255218326,MCA,2
MCA220,Khevna Gupta,khevna.gupta.MCA220@student.com,7277456019,MCA,2
MCA221,Advait Gupta,advait.gupta.MCA221@student.com,8540272897,MCA,2
MCA222,Vihaan Iyer,vihaan.iyer.MCA222@student.com,6705854624,MCA,2
MCA223,Deepak Modi,deepak.modi.MCA223@student.com,7053584805,MCA,2
MCA224,Bhavya Mishra,bhavya.mishra.MCA224@student.com,7520725203,MCA,2
MCA225,Myra Bose,myra.bose.MCA225@student.com,7822923550,MCA,2
MCA226,Chaitanya Mishra,chaitanya.mishra.MCA226@student.com,6586451893,MCA,2
MCA227,Tara Pandey,tara.pandey.MCA227@student.com,8937131736,MCA,2
MCA228,Diya Bose,diya.bose.MCA228@student.com,7616330073,MCA,2
MCA229,Siddharth Kapoor,siddharth.kapoor.MCA229@student.com,7088536518,MCA,2
MCA230,Isha Kapoor,isha.kapoor.MCA230@student.com,8806678160,MCA,2
MCA301,Riya Reddy,riya.reddy.MCA301@student.com,8970360997,MCA,3
MCA302,Kabir Sharma,kabir.sharma.MCA302@student.com,8435369572,MCA,3
MCA303,Diya Iyer,diya.iyer.MCA303@student.com,7884800040,MCA,3
MCA304,Advait Reddy,advait.reddy.MCA304@student.com,8445728065,MCA,3
MCA305,Parth Jain,parth.jain.MCA305@student.com,8301660455,MCA,3
MCA306,Khevna Mishra,khevna.mishra.MCA306@student.com,7580812629,MCA,3
MCA307,Ananya Verma,ananya.verma.MCA307@student.com,6713063525,MCA,3
MCA308,Aryan Mishra,aryan.mishra.MCA308@student.com,6020409979,MCA,3
MCA309,Pranav Yadav,pranav.yadav.MCA309@student.com,6539339650,MCA,3
MCA310,Vivaan Nair,vivaan.nair.MCA310@student.com,6199377468,MCA,3
MCA311,Chaitanya Nair,chaitanya.nair.MCA311@student.com,8791286600,MCA,3
MCA312,Khevna Chaudhary,khevna.chaudhary.MCA312@student.com,6498713353,MCA,3
MCA313,Vivaan Jain,vivaan.jain.MCA313@student.com,6905136314,MCA,3
MCA314,Advait Kulkarni,advait.kulkarni.MCA314@student.com,6363390734,MCA,3
MCA315,Parth Kapoor,parth.kapoor.MCA315@student.com,8478655784,MCA,3
MCA316,Vihaan Gupta,vihaan.gupta.MCA316@student.com,8844830976,MCA,3
MCA317,Meera Kulkarni,meera.kulkarni.MCA317@student.com,8957950664,MCA,3
MCA318,Akash Iyer,akash.iyer.MCA318@student.com,7443262965,MCA,3
MCA319,Aarav Malhotra,aarav.malhotra.MCA319@student.com,6616390228,MCA,3
MCA320,Diya Malhotra,diya.malhotra.MCA320@student.com,8119779409,MCA,3
MCA321,Bhavya Pandey,bhavya.pandey.MCA321@student.com,8260301654,MCA,3
MCA322,Kabir Sharma,kabir.sharma.MCA322@student.com,6583879906,MCA,3
MCA323,Siddharth Jain,siddharth.jain.MCA323@student.com,7641924559,MCA,3
MCA324,Vivaan Yadav,vivaan.yadav.MCA324@student.com,8434013859,MCA,3
MCA325,Aditya Gupta,aditya.gupta.MCA325@student.com,6528587079,MCA,3
MCA326,Gautam Rao,gautam.rao.MCA326@student.com,6477971936,MCA,3
MCA327,Gautam Chaudhary,gautam.chaudhary.MCA327@student.com,7512466720,MCA,3
MCA328,Advait Patel,advait.patel.MCA328@student.com,7889576984,MCA,3
MCA329,Aryan Kulkarni,aryan.kulkarni.MCA329@student.com,7068153677,MCA,3
MCA330,Vivaan Deshmukh,vivaan.deshmukh.MCA330@student.com,8483451442,MCA,3
MCA401,Aavya Kapoor,aavya.kapoor.MCA401@student.com,6180116376,MCA,4
MCA402,Isha Yadav,isha.yadav.MCA402@student.com,7561489325,MCA,4
MCA403,Aarav Kulkarni,aarav.kulkarni.MCA403@student.com,6917565973,MCA,4
MCA404,Myra Mehta,myra.mehta.MCA404@student.com,7335985448,MCA,4
MCA405,Ishani Kulkarni,ishani.kulkarni.MCA405@student.com,6340066440,MCA,4
MCA406,Vihaan Sharma,vihaan.sharma.MCA406@student.com,6590067046,MCA,4
MCA407,Aavya Rao,aavya.rao.MCA407@student.com,6084029583,MCA,4
MCA408,Riya Kulkarni,riya.kulkarni.MCA408@student.com,8893429380,MCA,4
MCA409,Ishani Bose,ishani.bose.MCA409@student.com,8088221810,MCA,4
MCA410,Vivaan Jain,vivaan.jain.MCA410@student.com,7823393421,MCA,4
MCA411,Kabir Kapoor,kabir.kapoor.MCA411@student.com,6106085247,MCA,4
MCA412,Aavya Nair,aavya.nair.MCA412@student.com,6516142090,MCA,4
MCA413,Rohan Mishra,rohan.mishra.MCA413@student.com,6572249655,MCA,4
MCA414,Kabir Reddy,kabir.reddy.MCA414@student.com,8929673508,MCA,4
MCA415,Siddharth Nair,siddharth.nair.MCA415@student.com,8624628243,MCA,4
MCA416,Ishani Nair,ishani.nair.MCA416@student.com,8920982784,MCA,4
MCA417,Akash Nair,akash.nair.MCA417@student.com,7149255499,MCA,4
MCA418,Esha Gupta,esha.gupta.MCA418@student.com,7051371549,MCA,4
MCA419,Ananya Modi,ananya.modi.MCA419@student.com,8495674106,MCA,4
MCA420,Pranav Yadav,pranav.yadav.MCA420@student.com,6100677504,MCA,4
MCA421,Zoya Sharma,zoya.sharma.MCA421@student.com,8448987906,MCA,4
MCA422,Aryan Jain,aryan.jain.MCA422@student.com,7927486652,MCA,4
MCA423,Bhavya Nair,bhavya.nair.MCA423@student.com,6284016314,MCA,4
MCA424,Akash Deshmukh,akash.deshmukh.MCA424@student.com,7461714478,MCA,4
MCA425,Aryan Iyer,aryan.iyer.MCA425@student.com,6678061134,MCA,4
MCA426,Aryan Iyer,aryan.iyer.MCA426@student.com,6958614710,MCA,4
MCA427,Bhavya Verma,bhavya.verma.MCA427@student.com,7683167436,MCA,4
MCA428,Akash Patel,akash.patel.MCA428@student.com,6110520455,MCA,4
MCA429,Bhavya Gupta,bhavya.gupta.MCA429@student.com,8283532469,MCA,4
MCA430,Meera Gupta,meera.gupta.MCA430@student.com,6452385085,MCA,4
